Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Enters at T/F London Bridge,06:37,07:07,07:37,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,18:37,19:07,19:37,20:07,20:37,21:07,21:37,22:07,22:37,23:07,23:37
Arrives at Blackfriars,06:41,07:11,07:41,08:11,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:41,18:11,18:41,19:11,19:41,20:11,20:41,21:11,21:41,22:11,22:41,23:11,23:41
Departs from Blackfriars,06:42,07:12,07:42,08:12,08:42,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:42,13:12,13:42,14:12,14:42,15:12,15:42,16:12,16:42,17:12,17:42,18:12,18:42,19:12,19:42,20:12,20:42,21:12,21:42,22:12,22:42,23:12,23:42
Arrives at City Thameslink,06:43,07:13,07:43,08:13,08:43,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:13,15:43,16:13,16:43,17:13,17:43,18:13,18:43,19:13,19:43,20:13,20:43,21:13,21:43,22:13,22:43,23:13,23:43
Departs from City Thameslink,06:44,07:14,07:44,08:14,08:44,09:14,09:44,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:44,18:14,18:44,19:14,19:44,20:14,20:44,21:14,21:44,22:14,22:44,23:14,23:44
Arrives at Farringdon,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45
Departs from Farringdon,06:46,07:16,07:46,08:16,08:46,09:16,09:46,10:16,10:46,11:16,11:46,12:16,12:46,13:16,13:46,14:16,14:46,15:16,15:46,16:16,16:46,17:16,17:46,18:16,18:46,19:16,19:46,20:16,20:46,21:16,21:46,22:16,22:46,23:16,23:46
Passes Kings Cross TL (Closed),06:49,07:19,07:49,08:19,08:49,09:19,09:49,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:49,18:19,18:49,19:19,19:49,20:19,20:49,21:19,21:49,22:19,22:49,23:19,23:49
Arrives at St. Pancras,06:50,07:20,07:50,08:20,08:50,09:20,09:50,10:20,10:50,11:20,11:50,12:20,12:50,13:20,13:50,14:20,14:50,15:20,15:50,16:20,16:50,17:20,17:50,18:20,18:50,19:20,19:50,20:20,20:50,21:20,21:50,22:20,22:50,23:20,23:50
Departs from St. Pancras,06:51,07:21,07:51,08:21,08:51,09:21,09:51,10:21,10:51,11:21,11:51,12:21,12:51,13:21,13:51,14:21,14:51,15:21,15:51,16:21,16:51,17:21,17:51,18:21,18:51,19:21,19:51,20:21,20:51,21:21,21:51,22:21,22:51,23:21,23:51
Passes Kentish Town,06:55,07:25,07:55,08:25,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:25,19:55,20:25,20:55,21:25,21:55,22:25,22:55,23:25,23:55
Exits railway at T/F West Hampstead TL,
allowable exit element(s): 0-10 ,06:56,07:26,07:56,08:26,08:56,09:26,09:56,10:26,10:56,11:26,11:56,12:26,12:56,13:26,13:56,14:26,14:56,15:26,15:56,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26,23:56


Brighton - Bedford [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N16

Enters at T/F London Bridge,24:17
Arrives at Blackfriars,24:21
Departs from Blackfriars,24:22
Arrives at City Thameslink,24:23
Departs from City Thameslink,24:24
Arrives at Farringdon,24:25
Departs from Farringdon,24:26
Passes Kings Cross TL (Closed),24:29
Arrives at St. Pancras,24:30
Departs from St. Pancras,24:31
Passes Kentish Town,24:35
Exits railway at T/F West Hampstead TL,
allowable exit element(s): 0-10 ,24:36


Brighton - Bedford [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N18

Enters at T/F London Bridge,24:45
Arrives at Blackfriars,24:48
Departs from Blackfriars,24:51
Arrives at City Thameslink,24:52
Departs from City Thameslink,24:53
Passes Farringdon,24:54
Passes Kings Cross TL (Closed),24:57
Arrives at St. Pancras,24:58
Departs from St. Pancras,24:59
Arrives at Kentish Town,25:02
Departs from Kentish Town,25:03
Exits railway at T/F West Hampstead TL,
allowable exit element(s): 0-10 ,25:04


Brighton - Bedford [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9N00

Enters at T/F London Bridge,25:26
Arrives at Blackfriars,25:29
Departs from Blackfriars,25:36
Arrives at City Thameslink,25:37
Departs from City Thameslink,25:38
Passes Farringdon,25:40
Passes Kings Cross TL (Closed),25:42
Arrives at St. Pancras,25:43
Departs from St. Pancras,25:44
Arrives at Kentish Town,25:47
Departs from Kentish Town,25:48
Exits railway at T/F West Hampstead TL,
allowable exit element(s): 0-10 ,25:49


